Gene description	Synonyms
Ataxin 2 like	ATXN2L
Ataxin 3	Ataxin-3; ATXN-3; ATXN3
Ataxin 3 like	ATXN3L
Ataxin 7	Ataxin-7; ATXN-7; ATXN7
Ataxin 7 like 1	ATXN7L1
Ataxin 7 like 2	ATXN7L2
Ataxin 7 like 3	ATXN7L3
Ataxin 7 like 3B	ATXN7L3B
ATCAY kinesin light chain interacting caytaxin	ATCAY
Atlastin GTPase 1	ATL-1; ATL1; Atlastin GTPase-1
Atlastin GTPase 2	ATL-2; ATL2; Atlastin GTPase-2
Atlastin GTPase 3	ATL-3; ATL3; Atlastin GTPase-3
ATM interactor	ATMIN
ATM serine/threonine kinase	ATM
Atonal bHLH transcription factor 7	ATOH-7; ATOH7
Atonal bHLH transcription factor 8	ATOH-8; ATOH8
Atos homolog A	ATOSA
Atos homolog B	ATOSB
ATP binding cassette subfamily A member 1	ABCA-1; ABCA1
ATP binding cassette subfamily A member 12	ABCA-12; ABCA12
ATP binding cassette subfamily A member 2	ABCA-2; ABCA2
ATP binding cassette subfamily A member 3	ABCA-3; ABCA3
ATP binding cassette subfamily A member 4	ABCA-4; ABCA4
ATP binding cassette subfamily A member 5	ABCA-5; ABCA5
ATP binding cassette subfamily A member 6	ABCA-6; ABCA6
ATP binding cassette subfamily A member 7	ABCA-7; ABCA7
ATP binding cassette subfamily A member 8	ABCA-8; ABCA8
ATP binding cassette subfamily A member 9	ABCA-9; ABCA9
ATP binding cassette subfamily B member 1	ABCB-1; ABCB1
ATP binding cassette subfamily B member 10	ABCB-10; ABCB10
ATP binding cassette subfamily B member 11	ABCB-11; ABCB11
ATP binding cassette subfamily B member 4	ABCB-4; ABCB4
ATP binding cassette subfamily B member 5	ABCB-5; ABCB5
ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB-6; ABCB6
ATP binding cassette subfamily B member 7	ABCB-7; ABCB7
ATP binding cassette subfamily B member 8	ABCB-8; ABCB8
ATP binding cassette subfamily B member 9	ABCB-9; ABCB9
ATP binding cassette subfamily C member 1	ABCC-1; ABCC1
ATP binding cassette subfamily C member 10	ABCC-10; ABCC10
ATP binding cassette subfamily C member 11	ABCC-11; ABCC11
ATP binding cassette subfamily C member 2	ABCC-2; ABCC2
ATP binding cassette subfamily C member 3	ABCC-3; ABCC3
ATP binding cassette subfamily C member 4	ABCC-4; ABCC4
ATP binding cassette subfamily C member 5	ABCC-5; ABCC5
ATP binding cassette subfamily C member 6	ABCC-6; ABCC6
ATP binding cassette subfamily C member 8	ABCC-8; ABCC8
ATP binding cassette subfamily C member 9	ABCC-9; ABCC9
ATP binding cassette subfamily D member 1	ABCD-1; ABCD1
ATP binding cassette subfamily D member 2	ABCD-2; ABCD2
ATP binding cassette subfamily D member 3	ABCD-3; ABCD3
ATP binding cassette subfamily D member 4	ABCD-4; ABCD4
ATP binding cassette subfamily E member 1	ABCE-1; ABCE1
ATP binding cassette subfamily F member 1	ABCF-1; ABCF1
ATP binding cassette subfamily F member 2	ABCF-2; ABCF2
ATP binding cassette subfamily F member 3	ABCF-3; ABCF3
ATP binding cassette subfamily G member 1	ABCG-1; ABCG1
ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG-2; ABCG2
ATP binding cassette subfamily G member 4	ABCG-4; ABCG4
ATP binding cassette subfamily G member 5	ABCG-5; ABCG5
ATP binding cassette subfamily G member 8	ABCG-8; ABCG8
ATP citrate lyase	ACLY
ATP synthase c subunit lysine N-methyltransferase	ATPSCKMT
ATP synthase F1 subunit alpha	ATP5F1A
ATP synthase F1 subunit beta	ATP5F1B
ATP synthase F1 subunit delta	ATP5F1D
ATP synthase F1 subunit epsilon	ATP5F1E
ATP synthase F1 subunit gamma	ATP5F1C
ATP synthase inhibitory factor subunit 1	ATP5IF1
ATP synthase membrane subunit c locus 1	ATP5MC1
ATP synthase membrane subunit c locus 2	ATP5MC2
ATP synthase membrane subunit c locus 3	ATP5MC3
ATP synthase membrane subunit e	ATP5ME
ATP synthase membrane subunit f	ATP5MF
ATP synthase membrane subunit g	ATP5MG
ATP synthase membrane subunit j	ATP5MJ
ATP synthase membrane subunit k	ATP5MK
ATP synthase mitochondrial F1 complex assembly factor 1	ATPAF-1; ATPAF1
ATP synthase mitochondrial F1 complex assembly factor 2	ATPAF-2; ATPAF2
ATP synthase peripheral stalk subunit d	ATP5PD
ATP synthase peripheral stalk subunit F6	ATP5PF
ATP synthase peripheral stalk subunit OSCP	ATP5PO
ATP synthase peripheral stalk-membrane subunit b	ATP5PB
ATP/GTP binding carboxypeptidase 1	AGTPBP-1; AGTPBP1
ATP23 metallopeptidase and ATP synthase assembly factor homolog	ATP-23; ATP23
ATPase 13A1	ATP13A1
ATPase 13A3	ATP13A3
ATPase cation transporting 13A2	ATP13A2
ATPase copper transporting alpha	ATP7A
ATPase copper transporting beta	ATP7B
ATPase family AAA domain containing 1	ATAD-1; ATAD1
ATPase family AAA domain containing 2	ATAD-2; ATAD2
ATPase family AAA domain containing 2B	ATAD2B
ATPase family AAA domain containing 3A	ATAD3A
ATPase family AAA domain containing 3B	ATAD3B
ATPase family AAA domain containing 5	ATAD-5; ATAD5
ATPase H+ transporting accessory protein 1	ATP6AP1
ATPase H+ transporting accessory protein 2	ATP6AP2
ATPase H+ transporting V0 subunit a1	ATP6V0A1
ATPase H+ transporting V0 subunit a2	ATP6V0A2
ATPase H+ transporting V0 subunit a4	ATP6V0A4
ATPase H+ transporting V0 subunit b	ATP6V0B
ATPase H+ transporting V0 subunit c	ATP6V0C
ATPase H+ transporting V0 subunit d1	ATP6V0D1
ATPase H+ transporting V0 subunit d2	ATP6V0D2
ATPase H+ transporting V0 subunit e1	ATP6V0E1
ATPase H+ transporting V1 subunit A	ATP6V1A
ATPase H+ transporting V1 subunit B1	ATP6V1B1
ATPase H+ transporting V1 subunit B2	ATP6V1B2
ATPase H+ transporting V1 subunit C1	ATP6V1C1
ATPase H+ transporting V1 subunit C2	ATP6V1C2
ATPase H+ transporting V1 subunit D	ATP6V1D
ATPase H+ transporting V1 subunit E1	ATP6V1E1
ATPase H+ transporting V1 subunit E2	ATP6V1E2
ATPase H+ transporting V1 subunit F	ATP6V1F
ATPase H+ transporting V1 subunit G1	ATP6V1G1
ATPase H+ transporting V1 subunit G2	ATP6V1G2
ATPase H+ transporting V1 subunit G3	ATP6V1G3
ATPase H+ transporting V1 subunit H	ATP6V1H
ATPase H+/K+ transporting non-gastric alpha2 subunit	ATP12A
ATPase H+/K+ transporting subunit alpha	ATP4A
ATPase H+/K+ transporting subunit beta	ATP4B
ATPase Na+/K+ transporting family member beta 4	ATP1B4
ATPase Na+/K+ transporting subunit alpha 1	ATP1A1
ATPase Na+/K+ transporting subunit alpha 2	ATP1A2
ATPase Na+/K+ transporting subunit alpha 3	ATP1A3
ATPase Na+/K+ transporting subunit alpha 4	ATP1A4
ATPase Na+/K+ transporting subunit beta 1	ATP1B1
ATPase Na+/K+ transporting subunit beta 2	ATP1B2
ATPase Na+/K+ transporting subunit beta 3	ATP1B3
ATPase phospholipid transporting 10A (putative)	ATP10A
ATPase phospholipid transporting 10B (putative)	ATP10B
ATPase phospholipid transporting 10D (putative)	ATP10D
ATPase phospholipid transporting 11A	ATP11A
ATPase phospholipid transporting 11B (putative)	ATP11B
ATPase phospholipid transporting 11C	ATP11C
ATPase phospholipid transporting 8A1	ATP8A1
ATPase phospholipid transporting 8A2	ATP8A2
ATPase phospholipid transporting 8B1	ATP8B1
ATPase phospholipid transporting 8B2	ATP8B2
ATPase phospholipid transporting 8B4 (putative)	ATP8B4
ATPase phospholipid transporting 9A (putative)	ATP9A
ATPase plasma membrane Ca2+ transporting 1	ATP2B1
ATPase plasma membrane Ca2+ transporting 2	ATP2B2
ATPase plasma membrane Ca2+ transporting 3	ATP2B3
ATPase plasma membrane Ca2+ transporting 4	ATP2B4
ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	ATP2A1
ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	ATP2A2
ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	ATP2A3
ATPase secretory pathway Ca2+ transporting 1	ATP2C1
ATPase secretory pathway Ca2+ transporting 2	ATP2C2
ATR interacting protein	ATRIP
ATR serine/threonine kinase	ATR
Atrophin 1	ATN-1; ATN1; Atrophin-1
ATRX chromatin remodeler	ATRX
Attractin	ATRN
Atypical chemokine receptor 1 (Duffy blood group)	ACKR-1; ACKR1
Atypical chemokine receptor 2	ACKR-2; ACKR2
Atypical chemokine receptor 3	ACKR-3; ACKR3
Atypical chemokine receptor 4	ACKR-4; ACKR4
AU RNA binding methylglutaconyl-CoA hydratase	AUH
AUP1 lipid droplet regulating VLDL assembly factor	AUP-1; AUP1
Aurora kinase A	AURKA
Aurora kinase A and ninein interacting protein	AUNIP
Aurora kinase A interacting protein 1	AURKAIP-1; AURKAIP1
Aurora kinase B	AURKB
Aurora kinase C	AURKC
Autocrine motility factor receptor	AMFR
Autoimmune regulator	AIRE
Autophagy and beclin 1 regulator 1	AMBRA-1; AMBRA1
Autophagy related 10	ATG-10; ATG10; Autophagy related-10
Autophagy related 101	ATG-101; ATG101; Autophagy related-101
Autophagy related 12	ATG-12; ATG12; Autophagy related-12
Autophagy related 13	ATG-13; ATG13; Autophagy related-13
Autophagy related 14	ATG-14; ATG14; Autophagy related-14
Autophagy related 16 like 1	ATG16L1
Autophagy related 16 like 2	ATG16L2
Autophagy related 2A	ATG2A
Autophagy related 2B	ATG2B
Autophagy related 3	ATG-3; ATG3; Autophagy related-3
Autophagy related 4A cysteine peptidase	ATG4A
Autophagy related 4B cysteine peptidase	ATG4B
Autophagy related 4C cysteine peptidase	ATG4C
Autophagy related 4D cysteine peptidase	ATG4D
Autophagy related 5	ATG-5; ATG5; Autophagy related-5
Autophagy related 7	ATG-7; ATG7; Autophagy related-7
Autophagy related 9A	ATG9A
Autophagy related 9B	ATG9B
AVL9 cell migration associated	AVL-9; AVL9
Axin 1	Axin-1; AXIN-1; AXIN1
Axin 2	Axin-2; AXIN-2; AXIN2
Axin interactor, dorsalization associated	AIDA
AXL receptor tyrosine kinase	AXL
Azurocidin 1	AZU-1; AZU1; Azurocidin-1
B and T lymphocyte associated	BTLA
B cell linker	BLNK
B cell receptor associated protein 29	BCAP-29; BCAP29
B cell receptor associated protein 31	BCAP-31; BCAP31
B cell scaffold protein with ankyrin repeats 1	BANK-1; BANK1
B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP-1; BDP1
B-Raf proto-oncogene, serine/threonine kinase	BRAF
B-TFIID TATA-box binding protein associated factor 1	BTAF-1; BTAF1
B9 domain containing 1	B9D1
B9 domain containing 2	B9D2
BAALC binder of MAP3K1 and KLF4	BAALC
Bactericidal permeability increasing protein	BPI
Baculoviral IAP repeat containing 2	BIRC-2; BIRC2
Baculoviral IAP repeat containing 3	BIRC-3; BIRC3
Baculoviral IAP repeat containing 5	BIRC-5; BIRC5
Baculoviral IAP repeat containing 6	BIRC-6; BIRC6
Baculoviral IAP repeat containing 7	BIRC-7; BIRC7
BAF chromatin remodeling complex subunit BCL11A	BCL11A
BAF chromatin remodeling complex subunit BCL11B	BCL11B
BAF chromatin remodeling complex subunit BCL7A	BCL7A
BAF chromatin remodeling complex subunit BCL7B	BCL7B
BAF chromatin remodeling complex subunit BCL7C	BCL7C
BAF nuclear assembly factor 1	BANF-1; BANF1
BAG cochaperone 1	BAG cochaperone-1; BAG-1; BAG1
BAG cochaperone 2	BAG cochaperone-2; BAG-2; BAG2
BAG cochaperone 3	BAG cochaperone-3; BAG-3; BAG3
BAG cochaperone 4	BAG cochaperone-4; BAG-4; BAG4
BAG cochaperone 5	BAG cochaperone-5; BAG-5; BAG5
BAG cochaperone 6	BAG cochaperone-6; BAG-6; BAG6
BAH domain and coiled-coil containing 1	BAHCC-1; BAHCC1
BAI1 associated protein 3	BAIAP-3; BAIAP3
BANF family member 2	BANF-2; BANF2
BAR/IMD domain containing adaptor protein 2	BAIAP-2; BAIAP2
BAR/IMD domain containing adaptor protein 2 like 1	BAIAP2L1
BAR/IMD domain containing adaptor protein 2 like 2	BAIAP2L2
Bardet-Biedl syndrome 1	Bardet-Biedl syndrome-1; BBS-1; BBS1
Bardet-Biedl syndrome 10	Bardet-Biedl syndrome-10; BBS-10; BBS10
Bardet-Biedl syndrome 12	Bardet-Biedl syndrome-12; BBS-12; BBS12
Bardet-Biedl syndrome 2	Bardet-Biedl syndrome-2; BBS-2; BBS2
Bardet-Biedl syndrome 4	Bardet-Biedl syndrome-4; BBS-4; BBS4
Bardet-Biedl syndrome 5	Bardet-Biedl syndrome-5; BBS-5; BBS5
Bardet-Biedl syndrome 7	Bardet-Biedl syndrome-7; BBS-7; BBS7
Bardet-Biedl syndrome 9	Bardet-Biedl syndrome-9; BBS-9; BBS9
BarH like homeobox 2	BARHL-2; BARHL2
Barttin CLCNK type accessory subunit beta	BSND
BARX homeobox 1	BARX homeobox-1; BARX-1; BARX1
BARX homeobox 2	BARX homeobox-2; BARX-2; BARX2
Basal cell adhesion molecule (Lutheran blood group)	BCAM
Base methyltransferase of 25S rRNA 2 homolog	BMT-2; BMT2
Basic charge Y-linked 2	BPY-2; BPY2
Basic charge Y-linked 2B	BPY2B
Basic charge Y-linked 2C	BPY2C
Basic helix-loop-helix ARNT like 1	BMAL-1; BMAL1
Basic helix-loop-helix ARNT like 2	BMAL-2; BMAL2
Basic helix-loop-helix family member a15	BHLHA-15; BHLHA15
Basic helix-loop-helix family member a9	BHLHA-9; BHLHA9
Basic helix-loop-helix family member e23	BHLHE-23; BHLHE23
Basic helix-loop-helix family member e40	BHLHE-40; BHLHE40
Basic helix-loop-helix family member e41	BHLHE-41; BHLHE41
Basic leucine zipper and W2 domains 1	BZW-1; BZW1
Basic leucine zipper and W2 domains 2	BZW-2; BZW2
Basic leucine zipper ATF-like transcription factor	BATF
Basic leucine zipper ATF-like transcription factor 2	BATF-2; BATF2
Basic leucine zipper ATF-like transcription factor 3	BATF-3; BATF3
Basic leucine zipper nuclear factor 1	BLZF-1; BLZF1
Basic transcription factor 3	BTF-3; BTF3
Basic transcription factor 3 like 4	BTF3L4
Basic, immunoglobulin-like variable motif containing	BIVM
Basigin (Ok blood group)	BSG
Basonuclin 1	Basonuclin-1; BNC-1; BNC1
Basonuclin 2	Basonuclin-2; BNC-2; BNC2
Bassoon presynaptic cytomatrix protein	BSN
BBSome interacting protein 1	BBIP-1; BBIP1
BBX high mobility group box domain containing	BBX
BCAR1 scaffold protein, Cas family member	BCAR-1; BCAR1
BCAR3 adaptor protein, NSP family member	BCAR-3; BCAR3
BCAS2 pre-mRNA processing factor	BCAS-2; BCAS2
BCAS3 microtubule associated cell migration factor	BCAS-3; BCAS3
BCDIN3 domain containing RNA methyltransferase	BCDIN3D
BCL10 immune signaling adaptor	BCL-10; BCL10
BCL2 antagonist/killer 1	BAK-1; BAK1; BCL2 antagonist/killer-1
BCL2 apoptosis regulator	BCL-2; BCL2
BCL2 associated agonist of cell death	BAD
BCL2 associated transcription factor 1	BCLAF-1; BCLAF1
BCL2 associated X, apoptosis regulator	BAX
BCL2 binding component 3	BBC-3; BBC3
BCL2 family apoptosis regulator BOK	BOK
BCL2 interacting killer	BIK
BCL2 interacting protein 1	BNIP-1; BNIP1
BCL2 interacting protein 2	BNIP-2; BNIP2
BCL2 interacting protein 3	BNIP-3; BNIP3
BCL2 interacting protein 3 like	BNIP3L
BCL2 interacting protein 5	BNIP-5; BNIP5
BCL2 interacting protein like	BNIPL
BCL2 like 1	BCL2 like-1; BCL2L1
BCL2 like 10	BCL2 like-10; BCL2L10
BCL2 like 11	BCL2 like-11; BCL2L11
BCL2 like 12	BCL2 like-12; BCL2L12
BCL2 like 13	BCL2 like-13; BCL2L13
BCL2 like 14	BCL2 like-14; BCL2L14
BCL2 like 15	BCL2 like-15; BCL2L15
BCL2 like 2	BCL2 like-2; BCL2L2
Bcl2 modifying factor	BMF
BCL2 related protein A1	BCL2A1
BCL2L2-PABPN1 readthrough	BCL2L2-PABPN1
BCL3 transcription coactivator	BCL-3; BCL3
BCL6 corepressor	BCOR
BCL6 corepressor like 1	BCORL-1; BCORL1
BCL6 transcription repressor	BCL-6; BCL6
BCL9 like	BCL9L
BCL9 transcription coactivator	BCL-9; BCL9
BCLAF1 and THRAP3 family member 3	BCLAF-3; BCLAF3
BCR activator of RhoGEF and GTPase	BCR
BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	BCS1L
Beaded filament structural protein 1	BFSP-1; BFSP1
Beaded filament structural protein 2	BFSP-2; BFSP2
Beclin 1	Beclin-1; BECN-1; BECN1
Beclin 2	Beclin-2; BECN-2; BECN2
BEN domain containing 2	BEND-2; BEND2
BEN domain containing 3	BEND-3; BEND3
BEN domain containing 5	BEND-5; BEND5
BEN domain containing 6	BEND-6; BEND6
BEN domain containing 7	BEND-7; BEND7
Bestrophin 1	BEST-1; BEST1; Bestrophin-1
Bestrophin 2	BEST-2; BEST2; Bestrophin-2
Bestrophin 3	BEST-3; BEST3; Bestrophin-3
Bet1 golgi vesicular membrane trafficking protein	BET-1; BET1
Bet1 golgi vesicular membrane trafficking protein like	BET1L
Beta 3-glucosyltransferase	B3GLCT
Beta-1,3-galactosyltransferase 1	B3GALT1; Beta-1,3-galactosyltransferase-1
Beta-1,3-galactosyltransferase 2	B3GALT2; Beta-1,3-galactosyltransferase-2
Beta-1,3-galactosyltransferase 4	B3GALT4; Beta-1,3-galactosyltransferase-4
Beta-1,3-galactosyltransferase 5	B3GALT5; Beta-1,3-galactosyltransferase-5
Beta-1,3-galactosyltransferase 6	B3GALT6; Beta-1,3-galactosyltransferase-6
Beta-1,3-glucuronyltransferase 1	B3GAT1; Beta-1,3-glucuronyltransferase-1
Beta-1,3-glucuronyltransferase 2	B3GAT2; Beta-1,3-glucuronyltransferase-2
Beta-1,3-glucuronyltransferase 3	B3GAT3; Beta-1,3-glucuronyltransferase-3
Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	B3GALNT1
Beta-1,3-N-acetylgalactosaminyltransferase 2	B3GALNT2; Beta-1,3-N-acetylgalactosaminyltransferase-2
Beta-1,4-galactosyltransferase 1	B4GALT1; Beta-1,4-galactosyltransferase-1
Beta-1,4-galactosyltransferase 2	B4GALT2; Beta-1,4-galactosyltransferase-2
Beta-1,4-galactosyltransferase 3	B4GALT3; Beta-1,4-galactosyltransferase-3
Beta-1,4-galactosyltransferase 4	B4GALT4; Beta-1,4-galactosyltransferase-4
Beta-1,4-galactosyltransferase 5	B4GALT5; Beta-1,4-galactosyltransferase-5
Beta-1,4-galactosyltransferase 6	B4GALT6; Beta-1,4-galactosyltransferase-6
Beta-1,4-galactosyltransferase 7	B4GALT7; Beta-1,4-galactosyltransferase-7
Beta-1,4-glucuronyltransferase 1	B4GAT1; Beta-1,4-glucuronyltransferase-1
Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	MGAT-3; MGAT3
Beta-1,4-N-acetyl-galactosaminyltransferase 1	B4GALNT1; Beta-1,4-N-acetyl-galactosaminyltransferase-1
Beta-1,4-N-acetyl-galactosaminyltransferase 2	B4GALNT2; Beta-1,4-N-acetyl-galactosaminyltransferase-2
Beta-1,4-N-acetyl-galactosaminyltransferase 3	B4GALNT3; Beta-1,4-N-acetyl-galactosaminyltransferase-3
Beta-1,4-N-acetyl-galactosaminyltransferase 4	B4GALNT4; Beta-1,4-N-acetyl-galactosaminyltransferase-4
Beta-2-microglobulin	B2M
Beta-carotene oxygenase 1	BCO-1; BCO1; Beta-carotene oxygenase-1
Beta-carotene oxygenase 2	BCO-2; BCO2; Beta-carotene oxygenase-2
Beta-secretase 1	BACE-1; BACE1; Beta-secretase-1
Beta-secretase 2	BACE-2; BACE2; Beta-secretase-2
Beta-transducin repeat containing E3 ubiquitin protein ligase	BTRC
Beta-ureidopropionase 1	Beta-ureidopropionase-1; UPB-1; UPB1
Betacellulin	BTC
Betaine--homocysteine S-methyltransferase	BHMT
Betaine--homocysteine S-methyltransferase 2	Betaine--homocysteine S-methyltransferase-2; BHMT-2; BHMT2
BH3 interacting domain death agonist	BID
BH3-like motif containing, cell death inducer	BLID
BicC family RNA binding protein 1	BICC-1; BICC1
BICD cargo adaptor 1	BICD-1; BICD1
BICD cargo adaptor 2	BICD-2; BICD2
BICD family like cargo adaptor 2	BICDL-2; BICDL2
BICRA like chromatin remodeling complex associated protein	BICRAL
Bifunctional apoptosis regulator	BFAR
Biglycan	BGN
Bile acid-CoA:amino acid N-acyltransferase	BAAT
Biliverdin reductase A	BLVRA
Biliverdin reductase B	BLVRB
Biogenesis of lysosomal organelles complex 1 subunit 1	BLOC1S1
Biogenesis of lysosomal organelles complex 1 subunit 2	BLOC1S2
Biogenesis of lysosomal organelles complex 1 subunit 3	BLOC1S3
Biogenesis of lysosomal organelles complex 1 subunit 4	BLOC1S4
Biogenesis of lysosomal organelles complex 1 subunit 5	BLOC1S5
Biogenesis of lysosomal organelles complex 1 subunit 6	BLOC1S6
Biogenesis of ribosomes BRX1	BRIX-1; BRIX1
Biorientation of chromosomes in cell division 1	BOD-1; BOD1
Biorientation of chromosomes in cell division 1 like 1	BOD1L1
Biorientation of chromosomes in cell division 1 like 2	BOD1L2
Biotinidase	BTD
Biphenyl hydrolase like	BPHL
Bisphosphoglycerate mutase	BPGM
BLCAP apoptosis inducing factor	BLCAP
Bleomycin hydrolase	BLMH
BLK proto-oncogene, Src family tyrosine kinase	BLK
BLM RecQ like helicase	BLM
BLOC-1 related complex subunit 5	BORCS-5; BORCS5
BLOC-1 related complex subunit 6	BORCS-6; BORCS6
BLOC-1 related complex subunit 8	BORCS-8; BORCS8
Blood vessel epicardial substance	BVES
BMERB domain containing 1	BMERB-1; BMERB1
BMI1 proto-oncogene, polycomb ring finger	BMI-1; BMI1
BMP and activin membrane bound inhibitor	BAMBI
BMP binding endothelial regulator	BMPER
BMP/retinoic acid inducible neural specific 1	BRINP-1; BRINP1
BMP/retinoic acid inducible neural specific 3	BRINP-3; BRINP3
BMP2 inducible kinase	BMP2K
BMS1 ribosome biogenesis factor	BMS-1; BMS1
BMX non-receptor tyrosine kinase	BMX
BOC cell adhesion associated, oncogene regulated	BOC
BolA family member 1	BOLA-1; BOLA1
BolA family member 2	BOLA-2; BOLA2
BolA family member 2B	BOLA2B
BolA family member 3	BOLA-3; BOLA3
Bombesin receptor subtype 3	BRS-3; BRS3
Bone gamma-carboxyglutamate protein	BGLAP
Bone marrow stromal cell antigen 1	BST-1; BST1
Bone marrow stromal cell antigen 2	BST-2; BST2
Bone morphogenetic protein 1	BMP-1; BMP1
Bone morphogenetic protein 10	BMP-10; BMP10
Bone morphogenetic protein 15	BMP-15; BMP15
Bone morphogenetic protein 2	BMP-2; BMP2
Bone morphogenetic protein 3	BMP-3; BMP3
Bone morphogenetic protein 4	BMP-4; BMP4
Bone morphogenetic protein 5	BMP-5; BMP5
Bone morphogenetic protein 6	BMP-6; BMP6
Bone morphogenetic protein 7	BMP-7; BMP7
Bone morphogenetic protein receptor type 1A	BMPR1A
Bone morphogenetic protein receptor type 1B	BMPR1B
Bone morphogenetic protein receptor type 2	BMPR-2; BMPR2
BOP1 ribosomal biogenesis factor	BOP-1; BOP1
BORA aurora kinase A activator	BORA
Boule homolog, RNA binding protein	BOLL
BPI fold containing family A member 1	BPIFA-1; BPIFA1
BPI fold containing family A member 2	BPIFA-2; BPIFA2
BPI fold containing family B member 1	BPIFB-1; BPIFB1
BPI fold containing family B member 2	BPIFB-2; BPIFB2
BPI fold containing family B member 3	BPIFB-3; BPIFB3
BPI fold containing family B member 6	BPIFB-6; BPIFB6
BR serine/threonine kinase 1	BRSK-1; BRSK1
BR serine/threonine kinase 2	BRSK-2; BRSK2
Bradykinin receptor B1	BDKRB-1; BDKRB1
Bradykinin receptor B2	BDKRB-2; BDKRB2
Brain abundant membrane attached signal protein 1	BASP-1; BASP1
Brain derived neurotrophic factor	BDNF
Brain enriched guanylate kinase associated	BEGAIN
Brain enriched myelin associated protein 1	BCAS-1; BCAS1
Brain expressed X-linked 1	BEX-1; BEX1
Brain expressed X-linked 2	BEX-2; BEX2
Brain expressed X-linked 3	BEX-3; BEX3
Brain expressed X-linked 4	BEX-4; BEX4
Brain expressed X-linked 5	BEX-5; BEX5
Brain protein I3	BRI-3; BRI3
Branched chain amino acid transaminase 1	BCAT-1; BCAT1
Branched chain amino acid transaminase 2	BCAT-2; BCAT2
Branched chain keto acid dehydrogenase E1 subunit alpha	BCKDHA
Branched chain keto acid dehydrogenase E1 subunit beta	BCKDHB
Branched chain keto acid dehydrogenase kinase	BCKDK
BRCA1 associated ATM activator 1	BRAT-1; BRAT1
BRCA1 associated protein	BRAP
BRCA1 associated protein 1	BAP-1; BAP1
BRCA1 associated RING domain 1	BARD-1; BARD1
BRCA1 DNA repair associated	BRCA-1; BRCA1
BRCA1 interacting helicase 1	BRIP-1; BRIP1
BRCA1/BRCA2-containing complex subunit 3	BRCC-3; BRCC3
BRCA2 and CDKN1A interacting protein	BCCIP
BRCA2 DNA repair associated	BRCA-2; BRCA2
BRD4 interacting chromatin remodeling complex associated protein	BICRA
Break repair meiotic recombinase recruitment factor 1	BRME-1; BRME1
Breast carcinoma amplified sequence 4	BCAS-4; BCAS4
Brevican	BCAN
BRF1 RNA polymerase III transcription initiation factor subunit	BRF-1; BRF1
BRF2 RNA polymerase III transcription initiation factor subunit	BRF-2; BRF2
BRI3 binding protein	BRI3BP
BRICHOS domain containing 5	BRICD-5; BRICD5
BRICK1 subunit of SCAR/WAVE actin nucleating complex	BRK-1; BRK1
Bridge-like lipid transfer protein family member 1	BLTP-1; BLTP1
Bridge-like lipid transfer protein family member 2	BLTP-2; BLTP2
Bridge-like lipid transfer protein family member 3A	BLTP3A
Bridge-like lipid transfer protein family member 3B	BLTP3B
Bridging integrator 1	BIN-1; BIN1; Bridging integrator-1
Bridging integrator 2	BIN-2; BIN2; Bridging integrator-2
Bridging integrator 3	BIN-3; BIN3; Bridging integrator-3
BRISC and BRCA1 A complex member 1	BABAM-1; BABAM1
BRISC and BRCA1 A complex member 2	BABAM-2; BABAM2
BRMS1 like transcriptional repressor	BRMS1L
BRMS1 transcriptional repressor and anoikis regulator	BRMS-1; BRMS1
BRO1 domain and CAAX motif containing	BROX
Bromo adjacent homology domain containing 1	BAHD-1; BAHD1
Bromodomain adjacent to zinc finger domain 1A	BAZ1A
Bromodomain adjacent to zinc finger domain 1B	BAZ1B
Bromodomain adjacent to zinc finger domain 2A	BAZ2A
Bromodomain adjacent to zinc finger domain 2B	BAZ2B
Bromodomain and PHD finger containing 1	BRPF-1; BRPF1
Bromodomain and PHD finger containing 3	BRPF-3; BRPF3
Bromodomain and WD repeat domain containing 1	BRWD-1; BRWD1
Bromodomain and WD repeat domain containing 3	BRWD-3; BRWD3
Bromodomain containing 1	BRD-1; BRD1; Bromodomain containing-1
Bromodomain containing 2	BRD-2; BRD2; Bromodomain containing-2
Bromodomain containing 3	BRD-3; BRD3; Bromodomain containing-3
Bromodomain containing 4	BRD-4; BRD4; Bromodomain containing-4
Bromodomain containing 7	BRD-7; BRD7; Bromodomain containing-7
Bromodomain containing 8	BRD-8; BRD8; Bromodomain containing-8
Bromodomain containing 9	BRD-9; BRD9; Bromodomain containing-9
Bromodomain PHD finger transcription factor	BPTF
Bromodomain testis associated	BRDT
Bruton tyrosine kinase	BTK
BSCL2 lipid droplet biogenesis associated, seipin	BSCL-2; BSCL2
BSD domain containing 1	BSDC-1; BSDC1
BTB domain and CNC homolog 1	BACH-1; BACH1
BTB domain and CNC homolog 2	BACH-2; BACH2
BTB domain containing 1	BTBD-1; BTBD1
